Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Region,State,City,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Unit_Price,Salesperson,Target_Sales,Customer_Rating,Return_Status
ORD-00027,2024-01-12,2024-01-15,Same Day,CUST0198,Rohit Bajaj,SME,North,Punjab,Punjab_City5,Clothing,Jacket,Jacket - Model 865,4290.82,1,0.3,668.92,4290.82,Isha Gupta,5148.7,4.6,Returned
ORD-00028,2022-08-05,2022-08-10,Standard Class,CUST0008,Sanjay Rao,SME,South,Karnataka,Karnataka_City5,Clothing,Jacket,Jacket - Model 677,36970.12,11,0.3,4432.96,3360.92,Arun Kumar,31127.87,2.7,Returned
ORD-00030,2021-10-07,2021-10-11,First Class,CUST0052,Rahul Sharma,Home Office,North,Delhi,Delhi_City2,Electronics,Mobile Phone,Mobile Phone - Model 720,16085.8,20,0.05,2935.09,804.29,Jayesh Shah,20619.86,3.9,No Return
ORD-00031,2022-02-23,2022-02-28,First Class,CUST0080,Rohit Bajaj,Corporate,East,West Bengal,West Bengal_City5,Appliances,Refrigerator,Refrigerator - Model 901,26174.72,13,0.25,2149.58,2013.44,Arun Kumar,25483.76,2.7,No Return
ORD-00032,2024-12-05,2024-12-09,Second Class,CUST0108,Divya Shah,Home Office,North,Uttarakhand,Uttarakhand_City5,Office Supplies,Pen Set,Pen Set - Model 927,8783.76,4,0.1,1902.63,2195.94,Isha Gupta,10429.14,2.9,No Return
ORD-00033,2021-08-28,2021-08-28,Second Class,CUST0116,Deepika Iyer,SME,East,Odisha,Odisha_City2,Electronics,Tablet,Tablet - Model 463,43061.4,15,0.25,5286.76,2870.76,Unassigned,41776.85,4.5,No Return
ORD-00035,2023-04-04,2023-04-10,Second Class,CUST0109,Neha Tiwari,Home Office,West,MP,MP_City1,Appliances,Microwave,Microwave - Model 860,19706.06,11,0.15,2198.87,1791.46,Isha Gupta,25133.87,3.8,No Return
ORD-00036,2023-04-12,2023-04-14,First Class,CUST0151,Kiran Mishra,Corporate,South,Andhra Pradesh,Andhra Pradesh_City5,Office Supplies,File Folder,File Folder - Model 229,29016.8,20,0.0,8698.9,1450.84,Elan Nair,23873.8,1.2,No Return
ORD-00037,2021-05-28,2021-05-28,Standard Class,CUST0004,Rohit Bajaj,Corporate,South,Andhra Pradesh,Andhra Pradesh_City4,Electronics,Monitor,Monitor - Model 603,23735.1,10,0.15,3070.85,2373.51,Bhavna Sharma,25835.91,3.7,No Return
ORD-00039,2024-08-23,2024-08-28,Same Day,CUST0021,Meena Nair,Home Office,South,Kerala,Kerala_City1,Office Supplies,File Folder,File Folder - Model 337,7283.04,8,0.0,706.16,910.38,Elan Nair,8400.83,3.8,Returned
ORD-00040,2022-05-27,2022-05-28,Standard Class,CUST0161,Rohit Bajaj,Corporate,North,Punjab,Punjab_City2,Office Supplies,Scissors,Scissors - Model 911,15081.08,7,0.2,1416.93,2154.44,Elan Nair,16551.82,4.3,No Return
ORD-00041,2021-07-24,2021-07-27,First Class,CUST0078,Sanjay Rao,Corporate,West,Maharashtra,Maharashtra_City1,Clothing,Kurta,Kurta - Model 334,22746.06,9,0.15,3505.82,2527.34,Jayesh Shah,24874.21,1.1,No Return
ORD-00042,2024-02-16,2024-02-19,Same Day,CUST0133,Arjun Pillai,Home Office,Central,MP,MP_City3,Furniture,Sofa,Sofa - Model 786,8535.33,9,0.2,1234.31,948.37,Bhavna Sharma,10488.78,2.3,Returned
ORD-00043,2024-09-27,2024-09-28,Same Day,CUST0117,Amit Kumar,SME,East,Jharkhand,Jharkhand_City1,Appliances,Refrigerator,Refrigerator - Model 292,14293.07,11,0.0,4874.73,1299.37,Isha Gupta,14019.92,4.0,Returned
ORD-00044,2022-12-06,2022-12-09,Standard Class,CUST0034,Anita Gupta,SME,North,Punjab,Punjab_City1,Office Supplies,Marker Set,Marker Set - Model 330,66152.85,15,0.15,4859.83,4410.19,Bhavna Sharma,68185.33,1.5,No Return
ORD-00046,2023-06-18,2023-06-25,Same Day,CUST0151,Rohit Bajaj,SME,North,Haryana,Haryana_City3,Office Supplies,Scissors,Scissors - Model 990,69328.64,16,0.15,12467.93,4333.04,Divya Reddy,89460.8,2.0,Returned
ORD-00047,2022-08-02,2022-08-04,First Class,CUST0191,Divya Shah,Corporate,South,Andhra Pradesh,Andhra Pradesh_City4,Electronics,Tablet,Tablet - Model 202,25494.17,13,0.25,5501.35,1961.09,Isha Gupta,32000.81,1.1,No Return
ORD-00048,2023-11-28,2023-11-28,Same Day,CUST0068,Manoj Joshi,Home Office,West,Gujarat,Gujarat_City4,Electronics,Headphones,Headphones - Model 993,69577.8,20,0.25,3866.5,3478.89,Isha Gupta,56911.13,1.3,No Return
ORD-00049,2021-06-26,2021-06-27,First Class,CUST0195,Sunita Singh,Home Office,South,Tamil Nadu,Tamil Nadu_City3,Clothing,T-Shirt,T-Shirt - Model 541,13102.65,15,0.1,3785.68,873.51,Chetan Patel,12081.94,2.6,No Return
ORD-00050,2024-11-09,2024-11-13,First Class,CUST0098,Shreya Bose,Corporate,South,Kerala,Kerala_City4,Electronics,Smartwatch,Smartwatch - Model 394,20107.6,8,0.2,1494.96,2513.45,Isha Gupta,17674.34,2.8,No Return
ORD-00051,2021-04-13,2021-04-18,First Class,CUST0065,Arjun Pillai,Home Office,Central,UP,UP_City3,Clothing,Kurta,Kurta - Model 122,10361.2,10,0.15,2694.95,1036.12,Geetha Iyer,9710.93,3.3,No Return
ORD-00052,2022-11-04,2022-11-10,Standard Class,CUST0059,Shreya Bose,Home Office,Central,Uttarakhand,Uttarakhand_City4,Office Supplies,Scissors,Scissors - Model 134,13608.84,12,0.05,3054.56,1134.07,Jayesh Shah,13369.74,1.5,No Return
ORD-00053,2023-08-26,2023-08-28,First Class,CUST0034,Neha Tiwari,Corporate,East,Jharkhand,Jharkhand_City4,Furniture,Desk,Desk - Model 177,32132.64,12,0.1,8650.99,2677.72,Chetan Patel,37822.55,1.9,Returned
ORD-00054,2023-10-13,2023-10-20,First Class,CUST0102,Rahul Sharma,Corporate,Central,UP,UP_City2,Electronics,Monitor,Monitor - Model 582,24354.27,9,0.15,3324.1,2706.03,Arun Kumar,27027.72,4.8,No Return
ORD-00055,2023-08-04,2023-08-05,Second Class,CUST0119,Anita Gupta,Consumer,Central,Chhattisgarh,Chhattisgarh_City4,Electronics,Printer,Printer - Model 564,8785.7,14,0.0,2933.36,627.55,Farhan Khan,9973.91,4.0,Returned
ORD-00056,2023-04-15,2023-04-19,Second Class,CUST0026,Divya Shah,Home Office,Central,Chhattisgarh,Chhattisgarh_City1,Clothing,Kurta,Kurta - Model 802,41403.4,20,0.1,2228.89,2070.17,Unassigned,44394.09,4.9,No Return
ORD-00057,2021-01-26,2021-01-28,Second Class,CUST0032,Arjun Pillai,Consumer,North,UP,UP_City5,Office Supplies,Notebook,Notebook - Model 310,9992.13,3,0.25,1812.43,3330.71,Bhavna Sharma,12139.53,3.2,No Return
ORD-00058,2023-03-04,2023-03-10,Standard Class,CUST0153,Rahul Sharma,Consumer,South,Karnataka,Karnataka_City1,Furniture,Bed Frame,Bed Frame - Model 466,38691.99,9,0.05,12727.55,4299.11,Divya Reddy,42345.54,1.1,No Return
ORD-00059,2021-08-17,2021-08-19,Standard Class,CUST0030,Amit Kumar,Home Office,North,Punjab,Punjab_City4,Clothing,Saree,Saree - Model 758,36303.36,16,0.1,6664.36,2268.96,Arun Kumar,30146.77,2.9,Returned
ORD-00060,2023-10-21,2023-10-26,First Class,CUST0114,Amit Kumar,SME,West,Maharashtra,Maharashtra_City5,Clothing,Kurta,Kurta - Model 643,4933.35,3,0.05,326.68,1644.45,Elan Nair,5065.85,3.4,No Return
ORD-00061,2021-06-14,2021-06-17,First Class,CUST0116,Deepika Iyer,Home Office,North,Uttarakhand,Uttarakhand_City2,Furniture,Sofa,Sofa - Model 803,24187.94,14,0.15,3487.33,1727.71,Harish Mehta,20162.26,4.3,No Return
ORD-00062,2021-07-12,2021-07-19,Same Day,CUST0034,Neha Tiwari,Corporate,West,Maharashtra,Maharashtra_City3,Office Supplies,Scissors,Scissors - Model 714,5906.0,2,0.2,1032.39,2953.0,Elan Nair,5763.21,3.3,No Return
ORD-00063,2022-07-28,2022-07-28,Standard Class,CUST0028,Kavita Menon,Home Office,West,Andhra Pradesh,Andhra Pradesh_City1,Furniture,Bed Frame,Bed Frame - Model 284,33649.74,18,0.3,3146.23,1869.43,Elan Nair,38742.61,2.2,No Return
ORD-00064,2021-02-24,2021-02-28,Second Class,CUST0037,Rohit Bajaj,SME,East,West Bengal,West Bengal_City4,Furniture,Bed Frame,Bed Frame - Model 564,5127.85,13,0.25,922.83,394.45,Farhan Khan,4505.87,2.2,No Return
ORD-00065,2024-08-20,2024-08-24,Same Day,CUST0040,Meena Nair,Home Office,Central,Himachal,Himachal_City2,Electronics,Laptop,Laptop - Model 873,5926.4,20,0.0,780.1,296.32,Isha Gupta,5078.38,2.7,No Return
ORD-00066,2022-05-07,2022-05-14,Second Class,CUST0079,Priya Patel,Home Office,Central,Uttarakhand,Uttarakhand_City3,Appliances,Fan,Fan - Model 435,16052.4,8,0.2,853.15,2006.55,Bhavna Sharma,12903.96,4.0,No Return
ORD-00067,2024-12-02,2024-12-06,Standard Class,CUST0059,Kiran Mishra,SME,South,Andhra Pradesh,Andhra Pradesh_City1,Appliances,Fan,Fan - Model 982,75151.8,18,0.3,8219.74,4175.1,Farhan Khan,81756.11,3.3,Returned
ORD-00068,2021-07-28,2021-07-28,Second Class,CUST0084,Meena Nair,SME,East,West Bengal,West Bengal_City5,Clothing,T-Shirt,T-Shirt - Model 510,46549.6,20,0.25,11378.97,2327.48,Isha Gupta,39070.18,4.5,No Return
ORD-00069,2022-04-04,2022-04-06,First Class,CUST0131,Sunita Singh,Consumer,South,Karnataka,Karnataka_City2,Furniture,Office Chair,Office Chair - Model 716,43762.42,17,0.3,4742.48,2574.26,Chetan Patel,51644.37,3.6,No Return
ORD-00070,2023-03-15,2023-03-16,Same Day,CUST0149,Arjun Pillai,SME,South,Goa,Goa_City3,Appliances,Geyser,Geyser - Model 915,61423.39,19,0.2,7221.55,3232.81,Elan Nair,67302.22,2.4,No Return
ORD-00071,2021-10-20,2021-10-25,Same Day,CUST0015,Kavita Menon,SME,East,Jharkhand,Jharkhand_City5,Clothing,T-Shirt,T-Shirt - Model 667,4298.2,10,0.3,1032.63,429.82,Arun Kumar,4405.08,4.2,No Return
ORD-00072,2021-09-21,2021-09-23,Standard Class,CUST0039,Priya Patel,Consumer,East,Assam,Assam_City4,Clothing,Saree,Saree - Model 549,8434.95,15,0.3,903.57,562.33,Isha Gupta,8952.64,1.6,No Return
ORD-00073,2023-02-18,2023-02-24,Same Day,CUST0087,Shreya Bose,Home Office,East,Jharkhand,Jharkhand_City3,Clothing,Blazer,Blazer - Model 841,7913.34,2,0.25,892.59,3956.67,Jayesh Shah,9785.95,2.3,No Return
ORD-00074,2022-11-23,2022-11-28,Standard Class,CUST0153,Amit Kumar,SME,East,Bihar,Bihar_City5,Clothing,Formal Shirt,Formal Shirt - Model 470,28166.6,10,0.25,6073.39,2816.66,Arun Kumar,27639.85,1.7,No Return
ORD-00075,2021-11-11,2021-11-18,Second Class,CUST0036,Vijay Reddy,SME,East,Jharkhand,Jharkhand_City2,Furniture,Desk,Desk - Model 266,4542.51,3,0.3,255.47,1514.17,Chetan Patel,5522.2,4.1,No Return
ORD-00076,2024-04-18,2024-04-20,First Class,CUST0174,Deepika Iyer,SME,West,Maharashtra,Maharashtra_City2,Clothing,Jeans,Jeans - Model 476,46086.75,15,0.3,8857.54,3072.45,Jayesh Shah,59554.22,2.8,No Return
ORD-00077,2024-06-18,2024-06-19,Standard Class,CUST0042,Suresh Verma,Home Office,West,MP,MP_City1,Appliances,Air Conditioner,Air Conditioner - Model 881,14701.4,20,0.1,868.68,735.07,Chetan Patel,13766.33,4.6,No Return
ORD-00078,2022-07-03,2022-07-06,Second Class,CUST0116,Kavita Menon,Corporate,West,Maharashtra,Maharashtra_City3,Furniture,Bed Frame,Bed Frame - Model 201,2103.74,1,0.15,358.71,2103.74,Farhan Khan,2515.42,1.6,No Return
ORD-00079,2024-02-25,2024-02-28,Second Class,CUST0158,Rahul Sharma,Home Office,West,Gujarat,Gujarat_City1,Clothing,Jacket,Jacket - Model 148,432.21,3,0.05,123.38,144.07,Divya Reddy,436.49,4.2,Returned
ORD-00080,2024-01-20,2024-01-23,Second Class,CUST0138,Rahul Sharma,SME,North,Delhi,Delhi_City2,Clothing,Saree,Saree - Model 780,49240.16,17,0.25,3437.2,2896.48,Bhavna Sharma,52280.36,2.4,No Return
ORD-00081,2023-04-24,2023-04-28,Standard Class,CUST0100,Kavita Menon,Home Office,West,Goa,Goa_City2,Electronics,Printer,Printer - Model 145,33742.98,9,0.1,8702.33,3749.22,Farhan Khan,36206.45,4.3,No Return
ORD-00083,2022-08-23,2022-08-27,First Class,CUST0095,Pooja Agarwal,Home Office,East,Bihar,Bihar_City1,Electronics,Monitor,Monitor - Model 844,48481.81,13,0.15,6251.94,3729.37,Geetha Iyer,40698.71,3.4,No Return
ORD-00084,2022-12-15,2022-12-18,Same Day,CUST0021,Manoj Joshi,Corporate,Central,UP,UP_City3,Office Supplies,Pen Set,Pen Set - Model 729,15671.5,10,0.2,3326.11,1567.15,Geetha Iyer,14688.55,4.9,No Return
ORD-00085,2024-01-05,2024-01-06,Second Class,CUST0192,Meena Nair,Home Office,North,UP,UP_City3,Office Supplies,Marker Set,Marker Set - Model 492,756.76,1,0.2,153.43,756.76,Jayesh Shah,617.66,1.6,Returned
ORD-00086,2023-04-04,2023-04-05,Second Class,CUST0020,Unknown,SME,East,Bihar,Bihar_City5,Clothing,Blazer,Blazer - Model 496,13354.15,5,0.15,1638.13,2670.83,Isha Gupta,11469.62,4.1,Returned
ORD-00087,2024-02-26,2024-02-28,First Class,CUST0126,Suresh Verma,Home Office,South,Telangana,Telangana_City1,Office Supplies,File Folder,File Folder - Model 663,2887.44,4,0.0,535.95,721.86,Isha Gupta,2729.15,2.2,No Return
ORD-00088,2023-08-26,2023-08-28,Second Class,CUST0032,Suresh Verma,Corporate,South,Karnataka,Karnataka_City1,Appliances,Washing Machine,Washing Machine - Model 416,6109.2,5,0.15,300.59,1221.84,Geetha Iyer,7940.72,3.9,Returned
ORD-00089,2022-03-14,2022-03-19,Standard Class,CUST0082,Unknown,Corporate,West,MP,MP_City5,Electronics,Mobile Phone,Mobile Phone - Model 256,35338.05,15,0.2,4335.4,2355.87,Elan Nair,31179.77,2.3,No Return
ORD-00090,2023-10-18,2023-10-19,Second Class,CUST0021,Unknown,Consumer,East,Assam,Assam_City2,Office Supplies,Scissors,Scissors - Model 774,22354.71,7,0.2,2366.65,3193.53,Jayesh Shah,25938.54,3.4,No Return
ORD-00091,2021-08-21,2021-08-26,First Class,CUST0198,Rohit Bajaj,Home Office,North,Delhi,Delhi_City4,Electronics,Printer,Printer - Model 350,29457.81,9,0.3,4570.34,3273.09,Geetha Iyer,27947.12,1.3,No Return
ORD-00092,2023-12-28,2023-12-28,Same Day,CUST0119,Suresh Verma,Consumer,South,Andhra Pradesh,Andhra Pradesh_City3,Clothing,Jacket,Jacket - Model 627,33582.67,11,0.1,9322.58,3052.97,Isha Gupta,28649.11,2.0,No Return
ORD-00093,2022-03-27,2022-03-28,First Class,CUST0025,Priya Patel,Consumer,East,Jharkhand,Jharkhand_City2,Furniture,Desk,Desk - Model 610,47296.6,10,0.3,7767.49,4729.66,Isha Gupta,48876.66,4.5,Returned
ORD-00094,2024-10-27,2024-10-28,Same Day,CUST0118,Deepika Iyer,Home Office,North,Delhi,Delhi_City5,Clothing,Saree,Saree - Model 108,20562.85,7,0.0,1339.92,2937.55,Bhavna Sharma,20880.83,4.5,No Return
ORD-00095,2024-09-15,2024-09-22,First Class,CUST0014,Rohit Bajaj,Corporate,West,Rajasthan,Rajasthan_City2,Electronics,Headphones,Headphones - Model 199,18243.72,18,0.2,1993.39,1013.54,Geetha Iyer,17999.24,4.9,No Return
ORD-00097,2021-06-11,2021-06-17,Standard Class,CUST0131,Neha Tiwari,SME,Central,UP,UP_City5,Appliances,Geyser,Geyser - Model 415,56932.16,16,0.1,9861.85,3558.26,Arun Kumar,62537.4,2.1,No Return
ORD-00098,2021-04-01,2021-04-05,First Class,CUST0135,Shreya Bose,SME,North,Uttarakhand,Uttarakhand_City2,Clothing,Formal Shirt,Formal Shirt - Model 522,10159.37,13,0.25,934.6,781.49,Divya Reddy,10212.08,4.1,Returned
ORD-00099,2024-09-11,2024-09-16,First Class,CUST0144,Manoj Joshi,Home Office,North,Punjab,Punjab_City5,Appliances,Washing Machine,Washing Machine - Model 595,42417.76,16,0.1,12865.52,2651.11,Divya Reddy,54238.26,2.1,No Return
ORD-00100,2023-05-04,2023-05-09,Same Day,CUST0054,Divya Shah,SME,South,Karnataka,Karnataka_City3,Office Supplies,File Folder,File Folder - Model 891,26675.33,11,0.2,7044.64,2425.03,Chetan Patel,25214.22,2.2,No Return
ORD-00101,2023-03-04,2023-03-09,Second Class,CUST0123,Suresh Verma,Consumer,East,Jharkhand,Jharkhand_City1,Office Supplies,File Folder,File Folder - Model 785,29038.52,7,0.1,8622.01,4148.36,Isha Gupta,26507.4,1.9,No Return
ORD-00102,2024-08-21,2024-08-23,First Class,CUST0175,Unknown,Home Office,West,Rajasthan,Rajasthan_City3,Clothing,T-Shirt,T-Shirt - Model 761,4824.37,1,0.05,788.63,4824.37,Arun Kumar,6049.61,1.4,No Return
ORD-00103,2023-01-01,2023-01-04,Standard Class,CUST0046,Priya Patel,Home Office,Central,MP,MP_City3,Furniture,Sofa,Sofa - Model 565,51355.33,13,0.05,16147.84,3950.41,Isha Gupta,54547.54,4.6,No Return
ORD-00104,2022-01-24,2022-01-27,First Class,CUST0029,Manoj Joshi,Consumer,Central,Uttarakhand,Uttarakhand_City2,Office Supplies,Notebook,Notebook - Model 725,22014.24,6,0.25,2099.82,3669.04,Geetha Iyer,26714.17,3.1,No Return
ORD-00105,2023-06-10,2023-06-15,Standard Class,CUST0123,Manoj Joshi,Home Office,West,Maharashtra,Maharashtra_City3,Furniture,Desk,Desk - Model 809,670.48,8,0.15,68.76,83.81,Divya Reddy,557.21,1.5,No Return
ORD-00106,2022-04-05,2022-04-09,Second Class,CUST0198,Anita Gupta,SME,South,Andhra Pradesh,Andhra Pradesh_City5,Appliances,Fan,Fan - Model 482,12846.48,4,0.1,1852.94,3211.62,Geetha Iyer,14785.92,4.7,No Return
ORD-00107,2022-10-18,2022-10-20,Second Class,CUST0115,Kiran Mishra,Home Office,South,Telangana,Telangana_City5,Electronics,Smartwatch,Smartwatch - Model 552,5239.32,12,0.2,350.67,436.61,Bhavna Sharma,5973.6,3.9,Returned
ORD-00108,2024-11-26,2024-11-28,Standard Class,CUST0015,Arjun Pillai,SME,West,Uttarakhand,Uttarakhand_City3,Clothing,Blazer,Blazer - Model 936,12952.9,5,0.15,2413.09,2590.58,Arun Kumar,15192.49,3.3,No Return
ORD-00109,2022-11-24,2022-11-28,Same Day,CUST0016,Amit Kumar,Home Office,West,Rajasthan,Rajasthan_City4,Electronics,Smartwatch,Smartwatch - Model 559,3313.44,16,0.15,292.89,207.09,Geetha Iyer,3273.09,3.7,No Return
ORD-00111,2021-04-24,2021-04-25,Same Day,CUST0005,Deepika Iyer,SME,North,UP,UP_City2,Appliances,Geyser,Geyser - Model 652,2681.63,7,0.2,128.87,383.09,Divya Reddy,3156.8,4.1,No Return
ORD-00112,2023-04-10,2023-04-12,Second Class,CUST0188,Rohit Bajaj,SME,Central,UP,UP_City3,Furniture,Bed Frame,Bed Frame - Model 381,31993.5,11,0.3,5638.27,2908.5,Arun Kumar,34500.48,3.4,No Return
ORD-00113,2023-07-06,2023-07-13,Same Day,CUST0089,Sanjay Rao,Consumer,West,MP,MP_City2,Clothing,T-Shirt,T-Shirt - Model 407,27671.58,17,0.15,4056.82,1627.74,Chetan Patel,33285.81,4.7,Returned
ORD-00114,2024-06-03,2024-06-08,Second Class,CUST0100,Deepika Iyer,Corporate,West,MP,MP_City3,Appliances,Washing Machine,Washing Machine - Model 486,9508.68,9,0.25,525.74,1056.52,Jayesh Shah,10473.44,4.5,No Return
ORD-00115,2022-12-04,2022-12-10,Same Day,CUST0054,Manoj Joshi,Consumer,Central,Himachal,Himachal_City5,Furniture,Sofa,Sofa - Model 820,47872.5,10,0.0,5435.56,4787.25,Divya Reddy,47791.88,2.0,No Return
ORD-00116,2024-02-26,2024-02-28,Same Day,CUST0167,Kavita Menon,Home Office,East,Jharkhand,Jharkhand_City2,Clothing,Saree,Saree - Model 479,13447.3,10,0.2,3387.04,1344.73,Farhan Khan,13540.96,3.3,No Return
ORD-00117,2024-10-27,2024-10-28,Same Day,CUST0150,Rohit Bajaj,Home Office,South,Tamil Nadu,Tamil Nadu_City3,Office Supplies,Marker Set,Marker Set - Model 881,21156.8,14,0.05,2993.93,1511.2,Harish Mehta,27149.55,3.6,Returned
ORD-00118,2021-09-02,2021-09-09,Standard Class,CUST0036,Neha Tiwari,Corporate,West,Gujarat,Gujarat_City1,Electronics,Notebook,Notebook - Model 522,15376.64,16,0.2,4269.75,961.04,Chetan Patel,18779.07,1.9,No Return
